Frame 2: X=123, Y=993, Radius=772
Frame 2: X=181, Y=215, Radius=15
Frame 2: X=109, Y=114, Radius=45
Frame 2: X=28, Y=110, Radius=28
Frame 2: X=267, Y=84, Radius=45
Frame 2: X=185, Y=421, Radius=421
Frame 3: X=706, Y=1767, Radius=141
Frame 3: X=29, Y=1752, Radius=29
Frame 3: X=692, Y=1740, Radius=24
Frame 3: X=641, Y=1739, Radius=19
Frame 3: X=582, Y=1738, Radius=37
Frame 3: X=239, Y=1725, Radius=12
Frame 3: X=879, Y=1733, Radius=34
Frame 3: X=299, Y=1733, Radius=57
Frame 3: X=1015, Y=1686, Radius=19
Frame 3: X=932, Y=1699, Radius=23
Frame 3: X=93, Y=1700, Radius=27
Frame 3: X=1065, Y=1643, Radius=10
Frame 3: X=272, Y=1660, Radius=24
Frame 3: X=299, Y=1625, Radius=32
Frame 3: X=24, Y=1677, Radius=68
Frame 3: X=953, Y=1672, Radius=64
Frame 3: X=98, Y=1634, Radius=36
Frame 3: X=72, Y=1599, Radius=28
Frame 3: X=1016, Y=1587, Radius=30
Frame 3: X=1030, Y=1582, Radius=48
Frame 3: X=1027, Y=1661, Radius=103
Frame 3: X=48, Y=1569, Radius=19
Frame 3: X=855, Y=1585, Radius=36
Frame 3: X=55, Y=1565, Radius=22
Frame 3: X=964, Y=1642, Radius=102
Frame 3: X=955, Y=1573, Radius=34
Frame 3: X=143, Y=1527, Radius=17
Frame 3: X=308, Y=1498, Radius=31
Frame 3: X=1047, Y=1470, Radius=32
Frame 3: X=62, Y=1487, Radius=29
Frame 3: X=934, Y=1469, Radius=18
Frame 3: X=56, Y=1471, Radius=43
Frame 3: X=273, Y=1455, Radius=30
Frame 3: X=151, Y=1430, Radius=24
Frame 3: X=864, Y=1409, Radius=20
Frame 3: X=1065, Y=1382, Radius=16
Frame 3: X=996, Y=1368, Radius=25
Frame 3: X=141, Y=1367, Radius=20
Frame 3: X=95, Y=1366, Radius=22
Frame 3: X=33, Y=1485, Radius=131
Frame 3: X=1048, Y=1384, Radius=53
Frame 3: X=1032, Y=1355, Radius=16
Frame 3: X=13, Y=1339, Radius=13
Frame 3: X=89, Y=1345, Radius=72
Frame 3: X=1063, Y=1336, Radius=19
Frame 3: X=985, Y=1328, Radius=10
Frame 3: X=1056, Y=1325, Radius=25
Frame 3: X=861, Y=1331, Radius=17
Frame 3: X=1033, Y=1325, Radius=18
Frame 3: X=986, Y=1426, Radius=143
Frame 3: X=861, Y=1297, Radius=13
Frame 3: X=1041, Y=1291, Radius=15
Frame 3: X=163, Y=1313, Radius=40
Frame 3: X=281, Y=1314, Radius=51
Frame 3: X=322, Y=1263, Radius=29
Frame 3: X=1013, Y=1256, Radius=10
